BU_UOX,BU_MOX,Fr_MOX,TC_MOX,Pu_TOT
58.09,49.93,0.1319,4.384,10.329412
58.13,56.61,0.1903,15.46,10.046818
58.17,32.83,0.193,12.56,10.394675
58.05,36.26,0.09314,17.99,11.47886
58.09,47.29,0.03262,4.843,13.574251
58.23,34.47,0.1119,7.789,11.016212
58.15,46.08,0.05784,6.647,12.498335
58.1,32.18,0.127,16.2,11.178912
58.26,38.24,0.1623,13.86,10.631403
58.33,55.37,0.04766,17.08,12.76301
58.09,49.38,0.1675,7.872,10.166098
58.22,34.33,0.008792,16.54,14.505854
58.25,47.08,0.196,3.103,9.7191899
58.19,63.03,0.1336,15.59,10.496089
58.07,40.17,0.1188,1.556,10.75129
58.29,31.87,0.08099,1.537,11.898995
58.03,31.31,0.1158,8.486,11.144847
58.01,61.6,0.1936,17.29,10.243846
58.16,48.33,0.1983,15.82,10.247973
58.04,35.92,0.01175,5.023,14.452316
58.11,45.5,0.04974,16.59,12.643083
58.11,44.77,0.1836,16.82,10.438019
58.19,38.11,0.07365,0.7981,11.667667
58.06,49.56,0.08565,17.57,11.322351
58.33,64.89,0.1413,4.405,10.010152
58.08,56.23,0.01517,2.416,14.209846
58.22,60.54,0.1858,17.36,10.325194
58.04,46.36,0.1084,17.11,11.023174
58.25,40.73,0.1758,19.85,10.606533
58.03,63.25,0.1195,9.409,10.482344
58.32,44.94,0.1872,15.83,10.338146
58.24,46.07,0.1624,12.55,10.385288
58.34,43.28,0.0715,15.3,11.932822
58.17,55.29,0.02679,3.824,13.781918
58.02,34.87,0.1009,14.17,11.41212
58.34,61.97,0.1495,16.81,10.522544
58.28,32.96,0.1261,1.749,10.759672
58.04,55.45,0.1099,13.74,10.64486
58.14,52.6,0.1433,13.48,10.517228
58.25,63.87,0.05595,0.8762,12.181982
58.31,51.75,0.1039,10.62,10.754826
58.18,59.79,0.1243,12.94,10.458041
58.12,45.32,0.05525,6.781,12.615799
58.14,60.75,0.197,12.71,10.141408
58.26,38.14,0.02884,2.019,13.766798
58.17,32.39,0.1127,4.335,11.001308
58.21,40.09,0.002844,18.31,14.740488
58.07,35.13,0.1761,11.06,10.40707
58.22,50.76,0.005804,7.175,14.615576
58.05,48.35,0.04206,8.106,13.134187
58.24,36.35,0.153,14.6,10.777046
58.0,56.4,0.02817,6.224,13.552188
58.26,63.93,0.0845,13.6,11.236236
58.3,36.79,0.1669,5.586,10.276256
58.28,61.25,0.1909,1.588,9.6539404
58.35,47.63,0.1382,8.979,10.504024
58.2,53.04,0.01234,8.59,14.300515
58.18,33.13,0.1536,7.116,10.653371
58.2,42.51,0.1484,8.335,10.458969
58.23,64.48,0.1384,0.5116,9.9229178
58.01,48.08,0.152,16.05,10.64153
58.28,59.81,0.1929,8.845,9.7778303
58.12,33.39,0.02774,7.65,13.609537
58.08,44.06,0.001067,15.81,14.852453
58.35,47.8,0.01653,18.7,14.14075
58.18,59.76,0.1616,16.05,10.504658
58.11,52.06,0.1528,12.36,10.50935
58.29,60.61,0.1835,17.68,10.359529
58.15,42.35,0.002403,1.733,14.772558
58.07,51.87,0.0789,15.68,11.438485
58.2,46.77,0.06059,4.329,12.42842
58.22,59.42,0.1621,16.2,10.506881
58.31,48.3,0.1184,2.043,10.332202
58.06,38.04,0.1431,18.47,10.921662
58.31,33.33,0.1091,5.757,11.044421
58.03,53.41,0.1562,1.256,10.131745
58.3,51.68,0.1123,9.188,10.639854
58.1,63.62,0.1463,3.01,10.03893
58.21,38.18,0.007823,8.438,14.543797
58.01,63.84,0.1759,4.363,9.8602406
58.16,44.72,0.03443,14.79,13.426283
58.27,64.72,0.09737,14.84,10.880542
58.02,61.01,0.1254,0.06687,10.179204
58.13,44.98,0.01253,8.58,14.360551
58.32,55.85,0.1143,1.603,10.292878
58.1,54.65,0.1715,3.573,9.9907291
58.19,56.93,0.06791,11.41,11.895359
58.08,42.79,0.08422,2.355,11.342861
58.32,43.72,0.04382,10.98,12.986097
58.06,33.88,0.01952,1.334,13.996932
58.27,46.5,0.1652,9.384,10.342173
58.3,37.85,0.08898,17.85,11.429018
58.14,47.97,0.1863,4.85,9.9210774
58.33,52.63,0.06338,19.46,12.198199
58.16,40.75,0.09947,5.007,10.910557
58.28,60.84,0.09936,17.22,10.951481
58.14,45.65,0.1845,9.465,10.198756
58.01,62.19,0.1724,1.976,9.9530939
58.24,51.52,0.1169,10.32,10.649758
58.13,38.07,0.06655,6.209,12.241594
31.77,57.81,0.08717,15.84,16.011969
32.04,51.86,0.09293,1.084,15.569132
32.04,30.97,0.03408,11.33,18.380245
31.91,48.07,0.1534,10.91,13.344404
32.08,47.72,0.0642,10.58,16.702452
31.83,32.19,0.07872,7.928,16.6511
32.02,34.57,0.1496,4.443,13.642215
31.89,61.94,0.1457,5.354,13.095773
32.06,35.2,0.01811,17.25,19.040322
32.0,31.1,0.1295,17.31,14.387692
31.91,53.24,0.1947,6.552,12.434708
31.83,40.86,0.1338,11.46,13.904703
31.96,51.5,0.08483,16.94,15.861904
31.94,31.68,0.1794,14.03,13.544619
32.09,43.83,0.01885,18.69,18.982699
31.81,44.66,0.07108,18.71,16.759207
31.97,40.1,0.1686,17.99,13.548728
31.99,62.29,0.005039,18.42,19.598196
32.09,41.25,0.07594,3.861,16.65092
31.77,64.67,0.1036,19.23,15.278001
31.83,44.76,0.009733,2.24,19.523149
31.94,45.04,0.06677,19.73,16.840494
31.8,54.49,0.08088,17.84,16.117726
31.97,46.19,0.1127,11.65,14.541724
31.87,39.09,0.09179,4.881,15.818382
31.98,32.12,0.1291,19.04,14.47928
32.0,30.23,0.03959,8.373,18.197295
32.03,43.26,0.1884,17.57,13.297744
31.97,35.86,0.08808,8.841,16.100703
32.06,64.07,0.01566,2.879,19.024325
31.79,55.28,0.06911,19.07,16.794072
31.81,63.07,0.001913,10.47,19.844344
31.76,46.63,0.07738,15.91,16.532032
31.82,40.94,0.1916,12.82,13.067785
32.05,35.25,0.1953,12.64,13.101173
31.84,34.79,0.07294,14.56,16.585585
31.99,31.65,0.1479,7.609,13.6865
32.09,41.9,0.03338,3.089,18.209556
31.8,55.41,0.0345,16.09,18.29266
31.78,42.7,0.1584,7.401,13.212239
31.83,37.9,0.1065,8.35,15.376188
31.78,30.7,0.1972,12.49,13.471786
32.02,38.17,0.1674,16.81,13.579458
31.88,55.49,0.1439,8.452,13.216367
32.02,40.06,0.1428,2.18,13.480514
31.88,64.53,0.1878,7.683,12.417439
31.75,58.91,0.005734,11.63,19.705003
32.03,59.95,0.1638,19.4,13.358753
32.07,52.68,0.1055,5.792,15.125194
31.81,31.12,0.1447,13.25,14.012824
31.94,34.69,0.01576,14.84,19.16578
31.76,32.63,0.06775,18.39,17.115603
31.92,42.06,0.1962,1.713,12.541674
32.01,34.39,0.1062,16.03,15.264846
32.07,57.61,0.01803,1.488,19.046537
31.91,34.51,0.08176,5.129,16.518371
31.77,44.26,0.1035,0.8083,15.082406
31.9,48.67,0.07313,0.2278,16.497541
31.86,42.23,0.1567,14.17,13.494891
32.08,35.74,0.1334,14.77,14.085346
31.96,55.5,0.1104,1.796,14.511643
31.93,39.65,0.1147,1.777,15.195751
31.75,63.96,0.1148,4.053,14.475768
31.79,63.85,0.02978,6.521,18.589926
31.96,47.43,0.1466,12.56,13.334891
31.86,32.03,0.1726,17.44,13.807909
31.89,43.4,0.02601,11.25,18.658713
31.88,36.17,0.1339,12.88,13.969603
31.78,34.82,0.1062,7.805,15.492661
31.87,53.24,0.1176,16.07,14.596163
31.98,59.79,0.1839,10.29,12.771878
31.85,34.52,0.09353,8.043,15.722886
31.9,46.86,0.02808,16.21,18.552241
32.1,30.54,0.06331,4.525,17.05106
32.01,40.21,0.1311,13.02,14.17157
32.01,44.78,0.1306,19.82,14.144666
31.95,38.36,0.1561,14.41,13.669876
32.03,63.57,0.08885,19.86,15.836107
31.93,31.44,0.002816,13.51,19.734983
31.82,54.66,0.1311,1.546,13.861493
32.0,33.53,0.1016,0.2205,15.225241
31.87,44.57,0.1417,10.26,13.506259
31.92,54.52,0.08944,12.51,15.735297
31.8,48.73,0.02906,2.8,18.582477
31.85,53.29,0.008573,4.475,19.487419
31.91,45.1,0.144,8.715,13.347014
31.85,64.46,0.1991,11.98,12.406376
31.98,47.32,0.1182,0.8727,14.505469
32.05,48.14,0.02752,13.23,18.519471
31.84,63.9,0.03134,8.185,18.407345
31.88,36.06,0.03852,16.82,18.225046
32.05,63.33,0.06019,9.798,16.794506
32.07,57.58,0.11,14.83,14.865661
31.99,40.01,0.1942,16.14,13.224692
32.08,32.84,0.005366,16.62,19.591426
31.79,44.8,0.1756,9.504,13.124458
31.93,57.39,0.05242,13.63,17.296233
31.95,41.2,0.1784,6.293,12.91355
32.06,37.17,0.09555,19.23,15.652812
31.9,50.38,0.1889,17.91,13.054388
34.91,54.99,0.06403,17.65,16.191242
35.11,46.17,0.1705,8.01,12.523521
35.13,34.29,0.1681,5.197,12.764508
34.92,37.74,0.007662,19.91,18.719449
35.01,37.64,0.184,13.06,12.840522
34.99,53.0,0.1702,19.09,12.994503
34.98,37.56,0.1387,6.765,13.215169
35.08,54.21,0.07932,10.53,15.405999
35.24,53.67,0.06955,12.05,15.726553
35.06,58.23,0.1344,8.364,12.766836
35.06,43.81,0.009277,14.11,18.53473
35.11,37.21,0.1781,2.72,12.566949
35.03,43.09,0.05342,12.36,16.457313
35.24,55.78,0.04442,17.29,16.908
